Region Measurement - 5357-Minus-4-3DAnimation-.oib Z:0 T:0 L:0 ROI:7

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,7,7,7,7,7,7,7,7,7,7,7
Average,488.341,480.911,15414.000,450.318,10835828.857,704.317,3890.429,78.143,3812.286,764.912,2294.736
Max,699.933,762.063,17739.000,479.220,13032250.000,860.215,3892.000,96.000,3825.000,791.978,2375.933
Min,234.750,226.267,14072.000,430.967,9217388.000,614.985,3888.000,64.000,3794.000,710.970,2132.910
Range,465.183,535.796,3667.000,48.253,3814862.000,245.230,4.000,32.000,31.000,81.008,243.023
StdDev,148.773,184.855,1200.822,15.897,1312745.663,81.765,1.512,13.898,13.622,29.722,89.167
3StdDev,446.319,554.565,3602.465,47.691,3938236.990,245.294,4.536,41.693,40.867,89.167,267.501

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,591.200,226.267,14988.000,444.799,9217388.000,614.985,3890.000,96.000,3794.000,777.600,2332.799
2,699.933,438.400,15809.000,457.620,10794420.000,682.802,3892.000,71.000,3821.000,710.970,2132.910
3,504.857,468.286,15150.000,449.301,13032250.000,860.215,3891.000,89.000,3802.000,774.933,2324.798
4,545.067,617.400,14072.000,430.967,10536387.000,748.748,3891.000,93.000,3798.000,775.237,2325.711
5,439.438,762.063,15703.000,454.337,9957953.000,634.143,3888.000,66.000,3822.000,791.978,2375.933
6,234.750,558.750,17739.000,479.220,12112462.000,682.815,3892.000,68.000,3824.000,736.621,2209.864
7,403.143,295.214,14437.000,435.983,10199942.000,706.514,3889.000,64.000,3825.000,787.045,2361.134
