Region Measurement - 5357-Plus-2-3DAnimation-.oib Z:0 T:0 L:0 ROI:5

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,5,5,5,5,5,5,5,5,5,5,5
Average,553.971,465.128,23259.400,530.918,8763433.200,409.123,3890.400,44.200,3846.200,747.187,2241.562
Max,723.769,687.000,68302.000,1030.182,23438669.000,435.364,3895.000,47.000,3852.000,804.117,2412.350
Min,289.040,306.500,10784.000,385.687,4654203.000,343.162,3888.000,42.000,3841.000,585.715,1757.145
Range,434.729,380.500,57518.000,644.495,18784466.000,92.202,7.000,5.000,11.000,218.402,655.205
StdDev,161.547,143.492,25199.450,279.760,8208741.522,39.652,2.793,1.924,3.962,91.064,273.191
3StdDev,484.641,430.475,75598.350,839.280,24626224.565,118.955,8.379,5.771,11.887,273.191,819.573

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,289.040,496.600,68302.000,1030.182,23438669.000,343.162,3895.000,43.000,3852.000,585.715,1757.145
2,623.583,306.500,10784.000,385.687,4654203.000,431.584,3889.000,44.000,3845.000,793.284,2379.852
3,723.769,382.462,13529.000,436.935,5418191.000,400.487,3888.000,47.000,3841.000,773.006,2319.018
4,556.769,453.077,11579.000,395.415,5041084.000,435.364,3889.000,42.000,3847.000,804.117,2412.350
5,576.692,687.000,12103.000,406.371,5265019.000,435.018,3891.000,45.000,3846.000,779.815,2339.446
