Region Measurement - 5357-Plus-3-3DAnimation-.oib Z:0 T:0 L:0 ROI:9

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,9,9,9,9,9,9,9,9,9,9,9
Average,562.034,589.705,15466.222,613.155,3853397.889,239.312,1942.333,42.000,1900.333,127.278,381.835
Max,887.387,801.321,21290.000,658.295,7166502.000,349.856,2927.000,46.000,2881.000,202.368,607.105
Min,76.588,136.353,12618.000,578.096,2468470.000,189.704,1302.000,39.000,1263.000,79.912,239.735
Range,810.799,664.968,8672.000,80.199,4698032.000,160.151,1625.000,7.000,1618.000,122.457,367.370
StdDev,299.292,219.678,3004.500,29.785,1832922.730,60.985,609.266,2.398,607.155,42.197,126.592
3StdDev,897.877,659.035,9013.499,89.354,5498768.189,182.954,1827.798,7.194,1821.466,126.592,379.775

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,76.588,136.353,19714.000,625.093,6897053.000,349.856,2927.000,46.000,2881.000,202.368,607.105
2,859.222,389.630,12618.000,585.955,2762569.000,218.939,1803.000,43.000,1760.000,129.608,388.825
3,887.387,582.194,14049.000,587.529,2741772.000,195.158,1389.000,41.000,1348.000,85.896,257.687
4,811.313,748.781,14650.000,604.041,2779167.000,189.704,1302.000,39.000,1263.000,79.912,239.735
5,660.625,635.500,14512.000,597.257,3082292.000,212.396,1407.000,40.000,1367.000,118.454,355.363
6,677.935,496.258,14368.000,626.971,3149299.000,219.188,1857.000,43.000,1814.000,108.736,326.208
7,546.452,793.645,15230.000,655.162,3633457.000,238.572,2914.000,45.000,2869.000,177.057,531.172
8,391.786,801.321,12765.000,578.096,2468470.000,193.378,1826.000,40.000,1786.000,92.721,278.164
9,147.000,723.667,21290.000,658.295,7166502.000,336.614,2056.000,41.000,2015.000,150.751,452.254
