Region Measurement - 5357-Minus-1-3DAnimation-.oib Z:0 T:0 L:0 ROI:4

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,4,4,4,4,4,4,4,4,4,4,4
Average,457.544,492.021,14714.500,600.918,7797293.250,526.017,2474.250,76.250,2398.000,242.320,726.961
Max,666.571,735.594,16312.000,634.026,9849827.000,603.839,2562.000,89.000,2507.000,282.162,846.487
Min,243.000,303.719,12681.000,578.225,6062442.000,437.042,2402.000,55.000,2330.000,208.723,626.168
Range,423.571,431.875,3631.000,55.801,3787385.000,166.798,160.000,34.000,177.000,73.440,220.319
StdDev,173.129,192.262,1505.426,24.740,1819225.375,81.167,70.769,16.276,80.270,32.234,96.702
3StdDev,519.386,576.787,4516.278,74.219,5457676.125,243.501,212.307,48.829,240.811,96.702,290.107

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,450.719,303.719,14841.000,586.469,6486133.000,437.042,2562.000,55.000,2507.000,225.388,676.164
2,666.571,379.000,15024.000,604.954,8790771.000,585.115,2402.000,72.000,2330.000,282.162,846.487
3,469.886,549.771,16312.000,634.026,9849827.000,603.839,2498.000,89.000,2409.000,253.008,759.025
4,243.000,735.594,12681.000,578.225,6062442.000,478.073,2435.000,89.000,2346.000,208.723,626.168
