Region Measurement - 5357-Minus-1-3DAnimation-.oib Z:0 T:0 L:0 ROI:4

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,4,4,4,4,4,4,4,4,4,4,4
Average,473.020,454.894,16157.250,459.191,11314267.000,698.290,3891.000,73.500,3817.500,760.316,2280.948
Max,700.000,687.857,17745.000,481.325,12908698.000,740.660,3892.000,89.000,3852.000,826.163,2478.488
Min,250.143,283.200,14275.000,432.236,9834669.000,630.468,3889.000,40.000,3800.000,656.403,1969.208
Range,449.857,404.657,3470.000,49.089,3074029.000,110.192,3.000,49.000,52.000,169.760,509.280
StdDev,184.618,177.463,1538.684,21.691,1667203.165,49.192,1.414,22.723,23.516,73.194,219.582
3StdDev,553.853,532.388,4616.051,65.072,5001609.495,147.575,4.243,68.169,70.548,219.582,658.745

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,493.867,283.200,15599.000,452.029,9834669.000,630.468,3891.000,79.000,3812.000,789.687,2369.060
2,700.000,357.733,17010.000,471.176,12598619.000,740.660,3892.000,40.000,3852.000,769.013,2307.038
3,448.071,490.786,17745.000,481.325,12908698.000,727.456,3892.000,86.000,3806.000,656.403,1969.208
4,250.143,687.857,14275.000,432.236,9915082.000,694.577,3889.000,89.000,3800.000,826.163,2478.488
