Region Measurement - 5357-Minus-2-3DAnimation-.oib Z:0 T:0 L:0 ROI:8

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,8,8,8,8,8,8,8,8,8,8,8
Average,429.712,555.953,14780.750,621.031,12311847.625,849.703,3440.125,66.000,3374.125,476.644,1429.931
Max,589.216,812.944,17372.000,694.826,16094258.000,1264.377,3892.000,117.000,3831.000,875.210,2625.629
Min,263.500,225.000,11830.000,556.801,10254807.000,608.842,2416.000,42.000,2373.000,325.194,975.583
Range,325.716,587.944,5542.000,138.025,5839451.000,655.536,1476.000,75.000,1458.000,550.015,1650.046
StdDev,120.851,224.547,2366.664,47.962,1978474.529,188.002,592.254,23.755,597.039,167.746,503.237
3StdDev,362.553,673.641,7099.992,143.887,5935423.588,564.007,1776.763,71.264,1791.118,503.237,1509.711

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,289.853,225.000,17372.000,658.101,13298216.000,765.497,3890.000,61.000,3829.000,415.168,1245.504
2,410.095,362.262,16465.000,653.413,13257023.000,805.164,3892.000,61.000,3831.000,434.878,1304.633
3,571.529,321.235,11830.000,556.801,10254807.000,866.848,2894.000,117.000,2777.000,413.089,1239.268
4,263.500,624.095,17068.000,694.826,10391707.000,608.842,3718.000,58.000,3660.000,325.194,975.583
5,440.167,644.222,12152.000,586.091,10631111.000,874.845,3887.000,77.000,3810.000,467.562,1402.686
6,589.216,649.919,13896.000,594.813,11792494.000,848.625,2952.000,69.000,2883.000,479.726,1439.177
7,503.389,812.944,12729.000,580.156,16094258.000,1264.377,3872.000,42.000,3830.000,875.210,2625.629
8,369.949,807.949,16734.000,644.046,12775165.000,763.426,2416.000,43.000,2373.000,402.321,1206.963
